dist;high
17.96590708;133.5
18.36533426;130.2
18.84913806;127.9
24.00123604;128.8
11.58844454;128.1
14.83748926;139.1
21.82593993;139.1
19.74756938;139.1
19.0710432;139.1
19.95315159;139.1
25.94972181;139.1
17.95361148;139.1
26.63922166;139.1
29.22158685;139.1
19.3966762;139.1
20.0056859;139.1
16.79742877;139.1
20.77713212;139.1
20.55169453;139.1
14.36817275;139.1
25.89748127;139.1
19.90111064;123.1
19.62297408;127.2
14.84666926;127.8
15.88697625;127.8
20.57448316;129.8
13.50465097;131.8
12.79870642;132.6
16.3574134;136.7
18.16714991;145.2
16.77481677;137.8
15.27115165;132.7
30.97974229;132.4
17.65361822;135.7
14.67782418;139.7
25.13895307;138.7
28.38621914;136.6
25.83979567;135.7
25.46785839;139
40.88975832;141.6
27.60617885;138.9
25.45689836;139.1
40.50724156;137.9
22.65561959;137.4
16.69383398;136
21.68412817;137.3
22.97228672;135.6
28.21370259;136
35.31062846;136
23.9240193;138.8
28.29817653;138
27.5454226;136.4
22.71566065;138.4
28.20843804;140
28.86045554;139.2
15.77576291;139.8
14.18041226;141.7
17.00278685;142.2
18.86667019;142.7
26.03656518;143.3
27.16919056;139.1
18.64122902;138.3
26.58560223;138.2
20.97389784;138.2
17.38823274;133.8
26.7235648;132
21.72173034;136.2
31.85742308;136.7
35.36422421;131.9
9.780036568;132
18.0049598;128.7
21.89895459;127.5
14.74476977;128.5
27.18276316;128.5
27.66945986;131.7
22.26212254;132.8
29.98310047;136.9
15.65258131;137.7
18.83068148;136.2
29.63365826;136.7
24.89776818;136.2
37.21152332;138.3
30.17687226;130.1
25.84367031;132.2
28.14623676;132.3
26.61459295;132
29.82225889;134.2
19.5344139;131.7
15.96413097;129.8
28.76691435;131.4
21.16951667;130.7
21.50548798;134.9
19.68876462;134.8
13.61049565;137.6
20.12172699;136.8
22.88178835;135.7
21.39149931;133.7
21.65237354;135
30.74425074;133.5
23.53738692;133.2
10.39613195;133.1
20.73717488;130.6
32.17857357;131.9
25.92097709;135
18.96808994;130.1
22.36542659;130.2
24.63368535;130.3
18.17660493;132.7
18.41644302;126.4
19.04903212;126.2
16.53041964;128.2
8.917691781;124.9
13.41205849;123.6
19.12880262;133.3
11.29084791;129.9
17.70161226;130.4
11.51062913;130.9
12.84267063;128.5
22.82962741;129.8
32.36050513;131
43.99230927;133.5
13.54780613;135.8
26.34744927;136.7
19.16230447;137.7
11.66777494;138.6
35.95391737;140.4
25.54893873;142
14.32057214;140.6
9.466248461;140.1
13.68566184;143.8
17.20207452;145.4
21.26384399;144.1
25.41595605;138.7
13.09225592;134.1
20.38936132;133.3
24.03305308;133.2
18.64435315;134.7
24.4304312;138.6
25.8066336;137.6
22.60246523;136.1
20.18249077;130.3
15.84631681;126.2
15.26592897;129
18.27264259;133.8
28.11618529;136.8
21.80330555;140
30.87618209;140.1
19.12367119;139
19.64496659;136.8
16.77260044;136.9
16.76631185;130.9
20.60957039;128.5
27.07106232;126.8
14.37395009;137.1
19.37888179;134.1
20.09822771;137.1
19.28895684;138.5
21.20335044;140.6
26.13880493;136.6
5.549318486;132.7
43.10095755;133.2
