name;cmt;desc;src;link1_href;link1_text;link1_type;link2_href;link2_text;link2_type;number;type;length
;;;;;;;;;;;11:53:28;19.88267076
;;;;;;;;;;;11:53:33;16.96048798
;;;;;;;;;;;11:53:39;11.19916126
;;;;;;;;;;;11:53:44;30.46757318
;;;;;;;;;;;11:53:49;13.70181957
;;;;;;;;;;;11:53:54;13.70686975
;;;;;;;;;;;11:53:59;17.98757982
;;;;;;;;;;;11:54:04;16.56195357
;;;;;;;;;;;11:54:10;23.39876382
;;;;;;;;;;;11:54:15;24.04604073
;;;;;;;;;;;11:54:20;12.00765839
;;;;;;;;;;;11:54:26;11.98737774
;;;;;;;;;;;11:54:32;21.67228389
;;;;;;;;;;;11:54:37;21.3002159
;;;;;;;;;;;11:54:42;16.99423924
;;;;;;;;;;;11:54:47;31.88701102
;;;;;;;;;;;11:54:53;11.49171436
;;;;;;;;;;;11:54:58;14.14052017
;;;;;;;;;;;11:55:04;13.86263813
;;;;;;;;;;;11:55:10;15.00118427
;;;;;;;;;;;11:55:15;25.09383804
;;;;;;;;;;;11:55:21;17.71804882
;;;;;;;;;;;11:55:27;10.47220619
;;;;;;;;;;;11:55:32;11.94628268
;;;;;;;;;;;11:55:38;15.19450291
;;;;;;;;;;;11:55:43;17.33473244
;;;;;;;;;;;11:55:49;19.21474377
;;;;;;;;;;;11:55:54;14.77008717
;;;;;;;;;;;11:55:59;11.63020203
;;;;;;;;;;;11:56:05;11.50878805
;;;;;;;;;;;11:56:10;18.33586448
;;;;;;;;;;;11:56:15;15.04346491
;;;;;;;;;;;11:56:20;21.30718157
;;;;;;;;;;;11:56:26;21.42071936
;;;;;;;;;;;11:56:32;27.17519453
;;;;;;;;;;;11:56:38;23.07541346
;;;;;;;;;;;11:56:43;11.87912501
;;;;;;;;;;;11:56:49;8.226758914
;;;;;;;;;;;11:56:54;21.2928784
;;;;;;;;;;;11:56:59;16.05569008
;;;;;;;;;;;11:57:05;42.02520878
;;;;;;;;;;;11:57:10;13.09317874
;;;;;;;;;;;11:57:15;8.344789997
;;;;;;;;;;;11:57:21;5.197559359
;;;;;;;;;;;11:57:27;17.77254979
;;;;;;;;;;;11:57:32;14.41765764
;;;;;;;;;;;11:57:38;15.37072263
;;;;;;;;;;;11:57:43;13.54769637
;;;;;;;;;;;11:57:49;21.53187449
;;;;;;;;;;;11:57:54;25.71907649
;;;;;;;;;;;11:57:59;18.78044271
;;;;;;;;;;;11:58:05;15.61749376
;;;;;;;;;;;11:58:10;27.68390627
;;;;;;;;;;;11:58:15;17.0549162
;;;;;;;;;;;11:58:20;17.76230762
;;;;;;;;;;;11:58:26;22.13636428
;;;;;;;;;;;11:58:31;15.98371519
;;;;;;;;;;;11:58:36;18.38194587
;;;;;;;;;;;11:58:46;22.99433089
;;;;;;;;;;;11:58:51;13.9222637
;;;;;;;;;;;11:58:56;26.02450664
;;;;;;;;;;;11:59:01;20.25477942
;;;;;;;;;;;11:59:06;18.96890656
;;;;;;;;;;;11:59:12;16.83152173
;;;;;;;;;;;11:59:17;23.26909162
;;;;;;;;;;;11:59:22;24.97840702
;;;;;;;;;;;11:59:27;19.07440878
;;;;;;;;;;;11:59:33;27.78122586
;;;;;;;;;;;11:59:38;21.13092894
;;;;;;;;;;;11:59:43;4.335476162
;;;;;;;;;;;11:59:49;31.21670258
;;;;;;;;;;;11:59:54;23.87448074
;;;;;;;;;;;12:00:00;2.178366286
;;;;;;;;;;;12:00:05;10.43821324
;;;;;;;;;;;12:00:11;1.162689316
;;;;;;;;;;;12:00:16;1.071504312
;;;;;;;;;;;12:00:21;2.680928353
;;;;;;;;;;;12:00:27;11.43387195
;;;;;;;;;;;12:00:32;7.229170355
;;;;;;;;;;;12:00:37;11.69469929
;;;;;;;;;;;12:00:42;3.265932496
;;;;;;;;;;;12:00:48;2.620906243
;;;;;;;;;;;12:00:53;19.76140453
;;;;;;;;;;;12:00:58;10.15200189
;;;;;;;;;;;12:01:04;19.15177026
;;;;;;;;;;;12:01:09;16.94575551
;;;;;;;;;;;12:01:15;13.25478143
;;;;;;;;;;;12:01:20;13.6170313
;;;;;;;;;;;12:01:25;22.48674104
;;;;;;;;;;;12:01:30;22.6895585
;;;;;;;;;;;12:01:35;21.04229907
;;;;;;;;;;;12:01:41;38.5913464
;;;;;;;;;;;12:01:46;18.13575245
;;;;;;;;;;;12:01:51;11.75193279
;;;;;;;;;;;12:01:57;12.90965372
;;;;;;;;;;;12:02:03;18.01305188
;;;;;;;;;;;12:02:08;19.1336477
;;;;;;;;;;;12:02:13;21.21138785
;;;;;;;;;;;12:02:19;13.21780089
;;;;;;;;;;;12:02:24;13.12966086
;;;;;;;;;;;12:02:29;20.9287304
;;;;;;;;;;;12:02:35;26.72075224
;;;;;;;;;;;12:02:40;18.56163635
;;;;;;;;;;;12:02:45;19.348522
;;;;;;;;;;;12:02:51;20.16015648
;;;;;;;;;;;12:02:57;19.26478589
;;;;;;;;;;;12:03:03;23.02919393
;;;;;;;;;;;12:03:09;21.57205722
;;;;;;;;;;;12:03:14;18.76483768
;;;;;;;;;;;12:03:20;22.83936597
;;;;;;;;;;;12:03:26;22.99611733
;;;;;;;;;;;12:03:31;18.38055709
;;;;;;;;;;;12:03:36;8.28038941
;;;;;;;;;;;12:03:42;20.52486601
;;;;;;;;;;;12:03:48;17.77772616
;;;;;;;;;;;12:03:54;14.62108095
;;;;;;;;;;;12:03:59;2.315070746
;;;;;;;;;;;12:04:04;5.36592278
;;;;;;;;;;;12:04:09;0.25892253
;;;;;;;;;;;12:04:15;1.175251273
;;;;;;;;;;;12:04:20;12.90141031
;;;;;;;;;;;12:04:25;23.29010733
;;;;;;;;;;;12:04:31;13.05160147
;;;;;;;;;;;12:04:36;15.53555128
