name;cmt;desc;src;link1_href;link1_text;link1_type;link2_href;link2_text;link2_type;number;type;length (i)
;;;;;;;;;;;09.01.2022 11:30;29.38180904
;;;;;;;;;;;09.01.2022 11:30;25.38822507
;;;;;;;;;;;09.01.2022 11:30;26.03480887
;;;;;;;;;;;09.01.2022 11:30;33.87883015
;;;;;;;;;;;09.01.2022 11:30;20.94948823
;;;;;;;;;;;09.01.2022 11:30;20.50272336
;;;;;;;;;;;09.01.2022 11:30;16.95516077
;;;;;;;;;;;09.01.2022 11:30;18.12329516
;;;;;;;;;;;09.01.2022 11:30;29.23633232
;;;;;;;;;;;09.01.2022 11:31;23.47317109
;;;;;;;;;;;09.01.2022 11:31;35.0536221
;;;;;;;;;;;09.01.2022 11:31;20.77435855
;;;;;;;;;;;09.01.2022 11:31;19.4194706
;;;;;;;;;;;09.01.2022 11:31;16.67900714
;;;;;;;;;;;09.01.2022 11:31;18.22247022
;;;;;;;;;;;09.01.2022 11:31;16.66251617
;;;;;;;;;;;09.01.2022 11:31;19.80706608
;;;;;;;;;;;09.01.2022 11:31;19.54823825
;;;;;;;;;;;09.01.2022 11:31;18.43263209
;;;;;;;;;;;09.01.2022 11:31;19.94241685
;;;;;;;;;;;09.01.2022 11:32;17.67086032
;;;;;;;;;;;09.01.2022 11:32;33.44904712
;;;;;;;;;;;09.01.2022 11:32;21.1061872
;;;;;;;;;;;09.01.2022 11:32;20.77057337
;;;;;;;;;;;09.01.2022 11:32;20.36891482
;;;;;;;;;;;09.01.2022 11:32;21.03296571
;;;;;;;;;;;09.01.2022 11:32;37.61003914
;;;;;;;;;;;09.01.2022 11:32;34.81636089
;;;;;;;;;;;09.01.2022 11:32;29.47479673
;;;;;;;;;;;09.01.2022 11:32;25.37911058
;;;;;;;;;;;09.01.2022 11:32;24.10322251
;;;;;;;;;;;09.01.2022 11:33;30.07120447
;;;;;;;;;;;09.01.2022 11:33;14.5454879
;;;;;;;;;;;09.01.2022 11:33;19.84464059
;;;;;;;;;;;09.01.2022 11:33;17.27146205
;;;;;;;;;;;09.01.2022 11:33;13.56616065
;;;;;;;;;;;09.01.2022 11:33;31.90094595
;;;;;;;;;;;09.01.2022 11:33;31.27898822
;;;;;;;;;;;09.01.2022 11:33;22.14564109
;;;;;;;;;;;09.01.2022 11:33;29.79127754
;;;;;;;;;;;09.01.2022 11:33;24.27800256
;;;;;;;;;;;09.01.2022 11:33;17.18579704
;;;;;;;;;;;09.01.2022 11:34;21.09605387
;;;;;;;;;;;09.01.2022 11:34;20.2777459
;;;;;;;;;;;09.01.2022 11:34;19.39280424
;;;;;;;;;;;09.01.2022 11:34;16.77067569
;;;;;;;;;;;09.01.2022 11:34;16.67686725
;;;;;;;;;;;09.01.2022 11:34;17.84144466
;;;;;;;;;;;09.01.2022 11:34;20.45666099
;;;;;;;;;;;09.01.2022 11:34;27.62400734
;;;;;;;;;;;09.01.2022 11:34;14.50453238
;;;;;;;;;;;09.01.2022 11:34;16.63092702
;;;;;;;;;;;09.01.2022 11:34;20.14088322
;;;;;;;;;;;09.01.2022 11:35;19.60721483
;;;;;;;;;;;09.01.2022 11:35;28.93215838
;;;;;;;;;;;09.01.2022 11:35;21.01021138
;;;;;;;;;;;09.01.2022 11:35;31.24229652
;;;;;;;;;;;09.01.2022 11:35;15.9726402
;;;;;;;;;;;09.01.2022 11:35;11.65053538
;;;;;;;;;;;09.01.2022 11:35;19.10407553
;;;;;;;;;;;09.01.2022 11:35;18.80421149
;;;;;;;;;;;09.01.2022 11:35;15.57455556
;;;;;;;;;;;09.01.2022 11:35;19.49532302
;;;;;;;;;;;09.01.2022 11:35;24.69853146
;;;;;;;;;;;09.01.2022 11:36;15.13036648
;;;;;;;;;;;09.01.2022 11:36;12.77955512
;;;;;;;;;;;09.01.2022 11:36;18.51912735
;;;;;;;;;;;09.01.2022 11:36;17.76882605
